store,raw_product_type,product_count,canonical_category
istorm,Θήκες,523,
istorm,Λουράκια Apple,257,
istorm,iPad,166,tablets
istorm,Mac,146,laptops
istorm,Apple Watch,98,smartwatches
istorm,Smart Home,88,smart_home
istorm,Ηχεία,72,speakers
istorm,iPhone,71,smartphones
istorm,Προστασία οθόνης,69,
istorm,Ακουστικά,64,headphones
istorm,Λουράκια,45,
istorm,Φορτιστές,38,
istorm,Πληκτρολόγια,35,
istorm,Αντάπτορες USB-C,32,
istorm,Ασύρματοι φορτιστές,30,
istorm,Accessories,29,
istorm,Προστασία κάμερας,27,
istorm,Power Bank,26,
istorm,Καλύμματα προστασίας,22,
istorm,Καλώδια USB-C,19,
istorm,Καλώδια Lightning,16,
istorm,Τσάντες,12,
istorm,AppleCare,11,
istorm,Οθόνες,11,monitors
istorm,AirPods,11,headphones
istorm,Εξωτερικός χώρος αποθήκευσης,11,
istorm,Action cameras,11,cameras
istorm,Ποντίκια,10,
istorm,Crossbody Strap,10,
istorm,Βάσεις στήριξης,8,
istorm,Accessories αυτοκινήτου,7,
istorm,Wallets,6,
istorm,SecondWarranty,6,
istorm,Health & Fitness,5,
istorm,Smart Accessories,5,
istorm,Καλύμματα πληκτρολογίου,5,
istorm,Docks,4,
istorm,Apple Watch Series 9,4,smartwatches
istorm,Desk mat,4,
istorm,Migration_iPod / iPhone accessories,4,
istorm,Drones,3,
istorm,Επιπλέον accessories,3,
istorm,Pencil,3,
istorm,Καλώδια 2 σε 1,2,
istorm,Pencil accessories,2,
istorm,Κιτ καθαρισμού,2,
istorm,Καλώδια HDMI,2,
istorm,AirTag,2,
istorm,Αντάπτορες Lightning,2,
istorm,Apple TV,2,
istorm,Καλώδια,1,
istorm,(empty),1,
istorm,TV Remote,1,
istorm,Λουράκια 44/45mm,1,
istorm,Accessories για θήκες,1,
istorm,Δίκτυα Wi-Fi,1,
istorm,Δέκτες AirPlay,1,
kotsovolos,Τηλεοράσεις,103,tvs
kotsovolos,Πλυντήρια Ρούχων,101,washing_machines
kotsovolos,Smartphones & iPhone,100,smartphones
kotsovolos,Θήκες Κινητών,100,
kotsovolos,Προστασία Οθόνης Κινητών,100,
kotsovolos,Smartwatches,100,smartwatches
kotsovolos,Αξεσουάρ Wearables,100,
kotsovolos,Ακουστικά Κεφαλής,100,headphones
kotsovolos,Ακουστικά Earbuds,100,headphones
kotsovolos,Φορητά Ηχεία Bluetooth,100,speakers
kotsovolos,Ψυγειοκαταψύκτες,100,refrigerators
kotsovolos,Φούρνοι,100,ovens
kotsovolos,Εστίες,100,ovens
kotsovolos,Set Εντοιχισμού,100,ovens
kotsovolos,Αξεσουάρ Εντοιχιζόμενων,100,
kotsovolos,Απορροφητήρες,100,
kotsovolos,Αξεσουάρ Απορροφητήρων,100,
kotsovolos,Κλιματιστικά Inverter,100,air_conditioners
kotsovolos,Ανεμιστήρες Δαπέδου,100,
kotsovolos,Laptop - MacBook,100,laptops
kotsovolos,Tablets - iPad,100,tablets
kotsovolos,Θήκες Tablets,100,
kotsovolos,Μελάνια Inkjet,100,
kotsovolos,Νεροχύτες Κουζίνας,100,
kotsovolos,Εντοιχιζόμενα Πλυντήρια Πιάτων,99,dishwashers
kotsovolos,Καλώδια,96,
kotsovolos,Games PS5,95,
kotsovolos,Φίλτρα Νερού,94,
kotsovolos,Φορτιστές,91,
kotsovolos,Σακούλες - Aξεσουάρ,87,
kotsovolos,All in One - PCs – Mac,85,desktops
kotsovolos,Έξυπνες Λάμπες,83,smart_home
kotsovolos,Καλώδια - Hubs,82,
kotsovolos,Ποντίκια,81,
kotsovolos,Ανεμιστήρες Οροφής,79,
kotsovolos,Laser Toner,79,
kotsovolos,Τσάντες Laptop,76,
kotsovolos,Πλυντήρια Πιάτων,74,dishwashers
kotsovolos,Κουζίνες,73,ovens
kotsovolos,"Projectors, Προβολείς",69,
kotsovolos,Ψυγεία,69,refrigerators
kotsovolos,Φούρνοι Μικροκυμάτων,67,ovens
kotsovolos,Σκούπες Stick,65,vacuums
kotsovolos,Αξεσουάρ,64,
kotsovolos,Soundbars,64,speakers
kotsovolos,Μπαταρίες Κουζίνας,62,
kotsovolos,Σεσουάρ,61,
kotsovolos,Ντουλάπες,60,
kotsovolos,Αξεσουάρ Ψυγείων,60,
kotsovolos,Στεγνωτήρια,60,dryers
kotsovolos,Drones,60,
kotsovolos,Αλκαλικές Μπαταρίες,60,
kotsovolos,Ανεμιστήρες Χειρός,59,
kotsovolos,Πληκτρολόγια,59,
kotsovolos,Μπλέντερ - Πολυκόφτες Multi,59,
kotsovolos,Ασύρματα Τηλέφωνα,55,
kotsovolos,Πλυντήρια-Στεγνωτήρια,55,washing_machines
kotsovolos,Εντοιχιζόμενοι Ψυγειοκαταψύκτες,54,refrigerators
kotsovolos,Ηχεία - Speakers,54,speakers
kotsovolos,Σκούπες Ρομπότ,52,vacuums
kotsovolos,Λευκές Συσκευές,52,
kotsovolos,Ακουστικά Ψείρες,51,headphones
kotsovolos,Αξεσουάρ Κινητών,50,
kotsovolos,Air Fryers – Πολυμάγειρες,50,air_fryers
kotsovolos,"Φακοί, Φίλτρα & Φλας",49,
kotsovolos,Smartphones - Tablets,49,
kotsovolos,IP Κάμερα,48,smart_home
kotsovolos,Βάσεις TV,47,
kotsovolos,Wifi Adapters & Extenders,47,
kotsovolos,Βραστήρες,47,
kotsovolos,Power Bank,46,
kotsovolos,Games PS4,45,
kotsovolos,Αξεσουάρ Φωτογραφικών,45,
kotsovolos,Action cameras,45,cameras
kotsovolos,USB Stick,44,
kotsovolos,Εντοιχιζόμενα Ψυγεία,43,refrigerators
kotsovolos,Τηγάνια - Wok,43,
kotsovolos,"Θερμοπομποί,Convector",42,
kotsovolos,Έξυπνοι Αισθητήρες & Πρίζες,42,smart_home
kotsovolos,Αξεσουάρ Καφέ & Ροφημάτων,42,
kotsovolos,Ηλεκτρικά Πατίνια,42,
kotsovolos,Αξεσουάρ Πλυντηρίων - Στεγνωτηρίων,41,
kotsovolos,Αφυγραντήρες,41,
kotsovolos,Gaming Headsets,41,headphones
kotsovolos,Αξεσουάρ Ψησταριών,41,
kotsovolos,Καταψύκτες,40,refrigerators
kotsovolos,Περιφερειακά PS5,39,
kotsovolos,Οικιακός Εξοπλισμός,39,
kotsovolos,Συντηρητές Κρασιών,38,refrigerators
kotsovolos,Καρέκλες,38,
kotsovolos,Computing,38,
kotsovolos,Ηλεκτρικές Σκούπες,35,vacuums
kotsovolos,Φρυγανιέρες,35,
kotsovolos,Ισιωτικά Μαλλιών,35,
kotsovolos,Compact,35,cameras
kotsovolos,Ηλεκτρικά Καλοριφέρ,34,
kotsovolos,Πολυμηχανήματα,34,
kotsovolos,Games Nintendo Switch,34,
kotsovolos,Κάρτες Μνήμης  MicroSD,33,
kotsovolos,Επιτραπέζιοι Ανεμιστήρες,33,
kotsovolos,Συστήματα Σιδερώματος,33,
kotsovolos,Ψύκτες Νερού,32,
kotsovolos,Σίδερα,32,
kotsovolos,Games Nintendo Switch 2,32,
kotsovolos,Ηχεία Hi Power,30,speakers
kotsovolos,Κουζινομηχανές - Πολυμίξερ,30,
kotsovolos,Gaming Mice,30,
kotsovolos,Activity Trackers,29,smartwatches
kotsovolos,Καφετιέρες Φίλτρου,29,coffee_machines
kotsovolos,Τοστιέρες,29,
kotsovolos,Trimmers,29,
kotsovolos,Instant,29,cameras
kotsovolos,Ημιμόνιμη Αποτρίχωση,27,
kotsovolos,Μονόπριζα & Πολύπριζα,26,
kotsovolos,Αυτόματες Μηχανές Espresso,26,coffee_machines
kotsovolos,Εικόνα & Ήχος,26,
kotsovolos,Αξεσουάρ Περιφερειακών,25,
kotsovolos,Κουρευτικές Μηχανές,25,
kotsovolos,Ξυριστικές Μηχανές Προσώπου,25,
kotsovolos,Οδοντόβουρτσες,25,
kotsovolos,Ανεμιστήρες Tower,24,
kotsovolos,"Modems, Routers",24,
kotsovolos,Gaming Keyboards,24,
kotsovolos,Μονόπορτα ψυγεία - Mini Bars,23,refrigerators
kotsovolos,Φροντίδα Πλυντηρίων - Στεγνωτηρίων,23,
kotsovolos,Σκουπάκια,23,vacuums
kotsovolos,Mirrorless,23,cameras
kotsovolos,Αερόθερμα,22,
kotsovolos,Σόμπες Υγραερίου,22,
